,2003-12-31,2004-02-29,2004-04-30,2004-06-30,2004-08-31,2004-10-31,2004-12-31,2005-02-28,2005-04-30,2005-06-30,2005-08-31,2005-10-31,2005-12-31,2006-02-28,2006-04-30,2006-06-30,2006-08-31,2006-10-31,2006-12-31,2007-02-28,2007-04-30,2007-06-30,2007-08-31,2007-10-31,2007-12-31,2008-02-29,2008-04-30,2008-06-30,2008-08-31,2008-10-31,2008-12-31,2009-02-28,2009-04-30,2009-06-30,2009-08-31,2009-10-31,2009-12-31,2010-02-28,2010-04-30,2010-06-30,2010-08-31,2010-10-31,2010-12-31,2011-02-28,2011-04-30,2011-06-30,2011-08-31,2011-10-31,2011-12-31,2012-02-29,2012-04-30,2012-06-30,2012-08-31,2012-10-31,2012-12-31,2013-02-28,2013-04-30,2013-06-30,2013-08-31,2013-10-31,2013-12-31,2014-02-28,2014-04-30,2014-06-30,2014-08-31,2014-10-31,2014-12-31,2015-02-28,2015-04-30,2015-06-30,2015-08-31,2015-10-31,2015-12-31,2016-02-29,2016-04-30,2016-06-30,2016-08-31,2016-10-31,2016-12-31,2017-02-28,2017-04-30,2017-06-30,2017-08-31,2017-10-31,2017-12-31,2018-02-28,2018-04-30,2018-06-30,2018-08-31,2018-10-31,2018-12-31,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31,2020-02-29,2020-04-30,2020-06-30,2020-08-31,2020-10-31,2020-12-31,2021-02-28,2021-04-30,2021-06-30,2021-08-31,2021-10-31,2021-12-31,2022-02-28,2022-04-30,2022-06-30,2022-08-31,2022-10-31,2022-12-31,2023-02-28,2023-04-30,2023-06-30,2023-08-31
^GSPC,0.46527,0.46492,0.46412,0.46404,0.46484,0.46578,0.46764,0.46936,0.4714,0.47306,0.4751,0.47635,0.47789,0.479,0.47951,0.47956,0.47949,0.47881,0.47817,0.47716,0.47604,0.47529,0.47424,0.47352,0.47315,0.47305,0.4726,0.47354,0.47569,0.4809,0.48083,0.48445,0.48746,0.48902,0.48953,0.48991,0.49022,0.49009,0.49318,0.49295,0.49219,0.49117,0.49088,0.4906,0.48985,0.48915,0.48886,0.48887,0.48885,0.4888,0.48876,0.48921,0.48929,0.48906,0.4896,0.49014,0.48995,0.48988,0.4898,0.48984,0.48989,0.48994,0.49042,0.49086,0.49158,0.49196,0.49217,0.4924,0.49257,0.49284,0.49305,0.4935,0.49381,0.4943,0.49452,0.49478,0.49481,0.49462,0.49434,0.4939,0.49347,0.49305,0.49256,0.49205,0.49149,0.49106,0.49049,0.49008,0.48983,0.48947,0.48959,0.48979,0.48982,0.48998,0.48997,0.49006,0.49041,0.49075,0.49195,0.49291,0.49395,0.49505,0.496,0.49679,0.49386,0.4938,0.49382,0.49378,0.49397,0.49417,0.49471,0.49513,0.49522,0.49526,0.4943,0.49387,0.49364,0.49378,0.49396
^DJI,0.53473,0.53508,0.53588,0.53596,0.53516,0.53422,0.53236,0.53064,0.5286,0.52694,0.5249,0.52365,0.52211,0.521,0.52049,0.52044,0.52051,0.52119,0.52183,0.52284,0.52396,0.52471,0.52576,0.52648,0.52685,0.52695,0.5274,0.52646,0.52431,0.5191,0.51917,0.51555,0.51254,0.51098,0.51047,0.51009,0.50978,0.50991,0.50682,0.50705,0.50781,0.50883,0.50912,0.5094,0.51015,0.51085,0.51114,0.51113,0.51115,0.5112,0.51124,0.51079,0.51071,0.51094,0.5104,0.50986,0.51005,0.51012,0.5102,0.51016,0.51011,0.51006,0.50958,0.50914,0.50842,0.50804,0.50783,0.5076,0.50743,0.50716,0.50695,0.5065,0.50619,0.5057,0.50548,0.50522,0.50519,0.50538,0.50566,0.5061,0.50653,0.50695,0.50744,0.50795,0.50851,0.50894,0.50951,0.50992,0.51017,0.51053,0.51041,0.51021,0.51018,0.51002,0.51003,0.50994,0.50959,0.50925,0.50805,0.50709,0.50605,0.50495,0.504,0.50321,0.50614,0.5062,0.50618,0.50622,0.50603,0.50583,0.50529,0.50487,0.50478,0.50474,0.5057,0.50613,0.50636,0.50622,0.50604
